Rank,Name,Industry,Revenue(billions US$),Headquarters
1,Reliance Industries,Conglomerate,109.43,Mumbai
2,Indian Oil Corporation,Oil and gas,103.42,New Delhi
3,Life Insurance Corporation,Banking,100.35,Mumbai
4,Oil and Natural Gas Corporation,Oil and gas,86.06,New Delhi
5,Bharat Petroleum,Oil and gas,58.84,Mumbai
6,State Bank of India,Banking,56.54,Mumbai
4,HDFC Bank,Banking,25.47,Mumbai
5,ICICI Bank,Banking,23.17,Mumbai
7,HDFC,Financials,19.04,Mumbai
9,Tata Consultancy Services,Infotech,27.9,Mumbai
10,Tata Steel,Iron and steel,30.28,Mumbai
11,Axis Bank,Banking,13.21,Mumbai
12,NTPC Limited,Utilities,21.25,New Delhi
13,Larsen & Toubro,Capital goods,22.62,Mumbai
14,Infosys,Infotech,18.26,Bangalore
15,JSW Steel Ltd,Iron and steel,9.50,Mumbai
16,Vedanta Limited,Metals and mining,16.38,Mumbai
18,Kotak Mahindra Bank,Banking,7.92,Mumbai
19,Hindalco Industries,Metals and mining,24.33,Mumbai
20,Bharti Airtel,Telecommunication,17.12,New Delhi
21,Coal India,Metals and mining,14.03,Kolkata
22,Tata Motors,Automotive,39.04,Mumbai
23,Power Finance Corporation,Financials,10.15,New Delhi
24,HCL Technologies,Infotech,11.19,Noida
25,Wipro,Infotech,10.07,Bangalore
26,Power Grid Corporation of India,Utilities,5.61,Gurgaon
27,Grasim Industries,Diversified,12.35,Mumbai
28,ITC Limited,Consumer Goods,7.91,Kolkata
29,Bajaj Finserv,Financials,8.64,Pune
30,Canara Bank,Banking,12.68,Bangalore
31,Bank of Baroda,Banking,12.06,Vadodara
32,Union Bank of India,Banking,11.28,Mumbai
33,Punjab National Bank,Banking,12.1,New Delhi
34,Mahindra & Mahindra,Automotive,11.59,Mumbai
35,Steel Authority of India,Iron and steel,12.98,New Delhi
36,GAIL,Oil and gas,10.98,New Delhi
37,Indian Bank,Banking,6.17,Chennai
38,Sun Pharmaceutical,Pharmaceuticals,5.10,Mumbai
39,Indian Railway Finance Corporation,Financials,2.55,New Delhi
40,Adani Enterprises,Consumer Goods,7.86,Ahmedabad
41,IndusInd Bank,Banking,5.09,Mumbai
42,Bank of India,Banking,6.26,Mumbai
43,Adani Ports & SEZ Limited,Shipping,2.10,Ahmedabad
44,Adani Green Energy,Renewable energy,0.41,Ahmedabad
45,Rajesh Exports,Gems and jewellery,30.00,Bangalore
46,Asian Paints,Chemicals,3.77,Mumbai
47,Adani Transmission,Utilities,1.49,Ahmedabad
48,Tech Mahindra,Infotech,5.72,Pune
49,Adani Total Gas,Oil and gas,0.35,Ahmedabad
50,Bajaj Auto,Automotive,4.54,Pune
51,DMart,Retail,4.00,Mumbai
52,Adyar Ananda Bhavan,Retail,4.00,Chennai
